team_name_norm,opponent_norm,last5_avg_score,last5_win_rate,last3_win_rate,win_streak,days_rest,h2h_win_rate,venue_win_rate,cum_wins_before_match,ladder_rank_before_match
brisbane lions,port adelaide power,81.4,0.2,0.3333333333333333,-2,7.0,0.2857142857142857,0.0,1.0,4.0
brisbane lions,richmond tigers,91.8,0.6,0.6666666666666666,-1,13.0,0.0,0.5884353741496599,15.0,1.0
brisbane lions,st kilda saints,88.4,0.6,0.3333333333333333,1,7.0,0.0,0.410958904109589,9.0,1.0
brisbane lions,sydney swans,89.0,0.6,0.3333333333333333,-2,6.0,0.3333333333333333,0.5966666666666667,8.0,1.0
brisbane lions,west coast eagles,113.8,0.8,1.0,3,6.0,0.3571428571428571,0.583916083916084,6.0,1.0
brisbane lions,western bulldogs,94.8,0.6,1.0,3,8.0,1.0,0.6097560975609756,12.0,1.0
greater western sydney giants,carlton blues,70.8,0.2,0.3333333333333333,-1,7.0,0.6111111111111112,0.375,5.0,4.0
carlton blues,adelaide crows,80.6,0.6,1.0,3,6.0,0.5714285714285714,0.0,3.0,1.0
carlton blues,brisbane lions,78.8,0.4,0.3333333333333333,-1,8.0,0.2,0.36,12.0,3.0
carlton blues,collingwood magpies,75.8,0.4,0.3333333333333333,-2,8.0,0.3333333333333333,0.4610169491525424,6.0,3.0
carlton blues,essendon bombers,79.6,0.4,0.3333333333333333,1,5.0,0.625,0.4597315436241611,8.0,1.0
carlton blues,fitzroy lions,114.0,0.6,0.3333333333333333,-2,209.0,0.3333333333333333,0.6931818181818182,0.0,1.0
carlton blues,fremantle dockers,84.0,0.0,0.0,-9,8.0,0.0,0.2727272727272727,2.0,6.0
carlton blues,geelong cats,102.2,0.8,0.6666666666666666,1,7.0,0.4285714285714285,0.4626334519572954,5.0,2.0
carlton blues,gold coast suns,79.4,0.6,1.0,3,7.0,0.5,0.5,3.0,1.0
carlton blues,greater western sydney giants,96.0,0.8,0.6666666666666666,-1,7.0,0.6,0.3818181818181818,4.0,3.0
carlton blues,hawthorn hawks,67.4,0.2,0.3333333333333333,-1,7.0,0.3333333333333333,0.488479262672811,4.0,10.0
carlton blues,melbourne demons,78.6,0.2,0.0,-4,7.0,0.4444444444444444,0.4542124542124542,4.0,2.0
carlton blues,north melbourne kangaroos,74.0,0.4,0.6666666666666666,2,6.0,0.4545454545454545,0.3741935483870968,2.0,1.0
carlton blues,port adelaide power,69.2,0.2,0.0,-3,7.0,0.125,0.3771428571428571,7.0,7.0
carlton blues,richmond tigers,75.6,0.2,0.0,-3,215.0,0.625,0.4976076555023923,0.0,1.0
carlton blues,st kilda saints,75.0,0.6,0.3333333333333333,-1,6.0,0.5833333333333334,0.3517241379310344,7.0,2.0
carlton blues,sydney swans,90.6,0.4,0.3333333333333333,1,8.0,0.3636363636363636,0.3846153846153846,4.0,5.0
carlton blues,west coast eagles,64.2,0.0,0.0,-6,9.0,0.5,0.2222222222222222,0.0,6.0
carlton blues,western bulldogs,74.6,0.2,0.0,-4,8.0,0.6666666666666666,0.3823529411764705,0.0,2.0
collingwood magpies,adelaide crows,78.2,0.4,0.3333333333333333,1,8.0,0.8,0.5215311004784688,1.0,1.0
collingwood magpies,brisbane lions,65.6,0.4,0.6666666666666666,2,16.0,0.5,0.5481171548117155,17.0,1.0
collingwood magpies,carlton blues,89.2,0.8,0.6666666666666666,2,13.0,0.5714285714285714,0.5460385438972163,2.0,1.0
collingwood magpies,essendon bombers,80.2,0.4,0.3333333333333333,1,9.0,0.3636363636363636,0.5454545454545454,10.0,2.0
collingwood magpies,fitzroy lions,110.2,0.6,1.0,3,7.0,0.0,,11.0,6.0
collingwood magpies,fremantle dockers,94.6,0.8,1.0,3,8.0,0.4,0.5395033860045146,14.0,1.0
collingwood magpies,geelong cats,74.0,0.4,0.3333333333333333,-1,181.0,0.2307692307692307,0.532258064516129,0.0,1.0
collingwood magpies,gold coast suns,55.4,0.6,0.6666666666666666,-1,10.0,0.5,0.52,8.0,1.0
collingwood magpies,greater western sydney giants,72.8,0.8,1.0,4,13.0,0.0,0.5258215962441315,8.0,1.0
collingwood magpies,hawthorn hawks,89.8,0.4,0.0,-3,8.0,0.3333333333333333,0.5413043478260869,8.0,7.0
collingwood magpies,melbourne demons,91.8,0.4,0.6666666666666666,1,13.0,0.4444444444444444,0.5401785714285714,18.0,1.0
collingwood magpies,north melbourne kangaroos,96.0,0.6,0.3333333333333333,1,8.0,0.6363636363636364,0.5359281437125748,5.0,2.0
collingwood magpies,port adelaide power,80.8,0.6,0.6666666666666666,-1,6.0,0.5,0.5440860215053763,0.0,1.0
collingwood magpies,richmond tigers,107.4,0.8,1.0,3,6.0,0.4,0.4658385093167702,9.0,1.0
collingwood magpies,st kilda saints,139.8,1.0,1.0,11,6.0,0.4285714285714285,0.559322033898305,17.0,1.0
collingwood magpies,sydney swans,88.6,1.0,1.0,11,9.0,0.6666666666666666,0.4,15.0,1.0
collingwood magpies,west coast eagles,94.6,1.0,1.0,6,7.0,0.6666666666666666,0.5670103092783505,12.0,1.0
collingwood magpies,western bulldogs,94.2,0.8,0.6666666666666666,1,13.0,0.5,0.5625,9.0,1.0
essendon bombers,adelaide crows,74.2,0.4,0.3333333333333333,-2,7.0,0.5,0.5454545454545454,6.0,1.0
essendon bombers,brisbane bears,102.6,0.8,0.6666666666666666,2,8.0,1.0,0.0,9.0,1.0
essendon bombers,brisbane lions,83.8,0.4,0.3333333333333333,1,8.0,0.2857142857142857,0.5718954248366013,1.0,7.0
essendon bombers,carlton blues,80.8,0.6,1.0,3,7.0,0.6923076923076923,0.5525525525525525,7.0,1.0
essendon bombers,collingwood magpies,65.6,0.4,0.3333333333333333,-2,9.0,0.4285714285714285,0.5859649122807018,1.0,1.0
essendon bombers,fitzroy lions,130.8,0.8,1.0,3,6.0,0.4,0.625,4.0,2.0
essendon bombers,fremantle dockers,80.6,0.8,1.0,4,13.0,0.6,0.4444444444444444,8.0,1.0
essendon bombers,geelong cats,91.0,0.6,0.3333333333333333,-1,6.0,0.5555555555555556,0.5,6.0,2.0
essendon bombers,gold coast suns,68.4,0.2,0.0,-4,16.0,1.0,0.5616438356164384,6.0,6.0
essendon bombers,greater western sydney giants,97.6,0.8,0.6666666666666666,1,6.0,0.5,0.5,7.0,8.0
essendon bombers,hawthorn hawks,97.0,0.6,0.6666666666666666,-1,15.0,0.2222222222222222,,5.0,1.0
essendon bombers,melbourne demons,93.8,0.6,0.6666666666666666,1,6.0,0.0,0.5,3.0,1.0
essendon bombers,north melbourne kangaroos,82.2,0.6,0.6666666666666666,-1,6.0,0.5833333333333334,0.5601851851851852,3.0,1.0
essendon bombers,port adelaide power,71.2,0.2,0.3333333333333333,-2,8.0,0.3333333333333333,0.5555555555555556,2.0,5.0
essendon bombers,richmond tigers,83.4,0.2,0.0,-4,7.0,0.6666666666666666,0.5512048192771084,4.0,5.0
essendon bombers,st kilda saints,93.6,0.6,0.6666666666666666,-1,6.0,1.0,0.5,10.0,1.0
essendon bombers,sydney swans,71.2,0.2,0.3333333333333333,-1,8.0,0.5,0.556923076923077,3.0,7.0
essendon bombers,west coast eagles,84.0,0.4,0.6666666666666666,2,6.0,0.5555555555555556,0.4545454545454545,2.0,1.0
essendon bombers,western bulldogs,57.2,0.0,0.0,-7,8.0,0.5,0.5565610859728507,6.0,4.0
fitzroy lions,fremantle dockers,56.6,0.0,0.0,-13,7.0,0.3333333333333333,0.0,1.0,4.0
fitzroy lions,adelaide crows,62.6,0.0,0.0,-8,7.0,,0.2,1.0,6.0
fitzroy lions,brisbane bears,104.8,0.8,0.6666666666666666,-1,7.0,1.0,0.4583333333333333,11.0,4.0
fitzroy lions,carlton blues,89.0,0.2,0.0,-4,6.0,0.0,0.3870967741935484,3.0,6.0
fitzroy lions,collingwood magpies,108.4,0.8,1.0,4,209.0,1.0,0.4347826086956521,0.0,1.0
fitzroy lions,essendon bombers,99.4,0.8,1.0,3,6.0,0.0,0.4666666666666667,5.0,1.0
fitzroy lions,geelong cats,69.4,0.2,0.3333333333333333,1,6.0,1.0,0.4933333333333333,5.0,5.0
fitzroy lions,hawthorn hawks,97.0,0.2,0.3333333333333333,1,7.0,0.0,0.4137931034482758,6.0,5.0
fitzroy lions,melbourne demons,95.0,0.8,1.0,3,8.0,,0.46875,9.0,5.0
fitzroy lions,north melbourne kangaroos,98.8,0.8,1.0,3,7.0,1.0,0.4285714285714285,11.0,4.0
fitzroy lions,richmond tigers,70.8,0.2,0.0,-3,7.0,0.5,0.4782608695652174,0.0,6.0
fitzroy lions,st kilda saints,72.8,0.4,0.6666666666666666,-1,7.0,,0.4516129032258064,6.0,6.0
fitzroy lions,sydney swans,67.2,0.0,0.0,-10,7.0,1.0,0.1304347826086956,2.0,6.0
fitzroy lions,west coast eagles,69.8,0.0,0.0,-5,6.0,0.0,0.5,8.0,2.0
fitzroy lions,western bulldogs,86.8,0.4,0.6666666666666666,1,7.0,0.5,0.5,6.0,6.0
fremantle dockers,adelaide crows,96.0,0.8,1.0,3,6.0,0.4,0.5671641791044776,2.0,1.0
fremantle dockers,brisbane lions,93.6,1.0,1.0,5,6.0,0.5,0.6067415730337079,15.0,1.0
fremantle dockers,carlton blues,73.0,0.6,1.0,3,14.0,0.6,0.3666666666666666,10.0,1.0
fremantle dockers,collingwood magpies,63.4,0.2,0.3333333333333333,-2,6.0,0.25,0.3448275862068966,7.0,8.0
fremantle dockers,essendon bombers,85.2,0.8,1.0,4,5.0,0.6,0.5833333333333334,8.0,1.0
fremantle dockers,fitzroy lions,76.0,0.4,0.3333333333333333,-2,6.0,,0.5,3.0,4.0
fremantle dockers,geelong cats,98.8,0.6,0.6666666666666666,-1,6.0,0.5454545454545454,0.5789473684210527,12.0,5.0
fremantle dockers,gold coast suns,79.2,0.6,0.6666666666666666,2,7.0,1.0,0.5,6.0,3.0
fremantle dockers,greater western sydney giants,55.4,0.4,0.3333333333333333,-2,8.0,1.0,0.53125,0.0,5.0
fremantle dockers,hawthorn hawks,73.0,0.4,0.6666666666666666,-1,7.0,0.1666666666666666,0.0833333333333333,7.0,3.0
fremantle dockers,melbourne demons,89.0,0.6,0.6666666666666666,-1,8.0,0.5833333333333334,0.5675675675675675,10.0,3.0
fremantle dockers,north melbourne kangaroos,68.8,0.0,0.0,-5,7.0,0.0,0.375,6.0,4.0
fremantle dockers,port adelaide power,71.6,0.2,0.0,-3,209.0,0.8333333333333334,0.1666666666666666,0.0,1.0
fremantle dockers,richmond tigers,49.6,0.6,0.3333333333333333,-1,4.0,0.75,0.6,5.0,2.0
fremantle dockers,st kilda saints,98.6,0.8,0.6666666666666666,1,7.0,0.375,0.3768115942028985,4.0,1.0
fremantle dockers,sydney swans,72.4,0.4,0.3333333333333333,1,7.0,0.6,0.25,4.0,4.0
